Library Name,Sample Name,tissue,Run,age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolate,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,sex,SRA Study,create_date,version,cell_line,culture_collection,treatment,Title,Platform__sra_explorer,Total bases,Create date,SRA URL,SRA filename,SRA nice filename,FastQ URL,FastQ Aspera URL,FastQ filename,FastQ nice filename,Sample,biosample,Platform__supplemntary_tables,Machine model,library prep.,Total Reads (PF),Raw reads coverage,Total Reads After Trimming,Percent Total Reads after Trimming,Total Mapped Reads (Trimmed),Percent Total Mapped Reads (Trimmed),Percent Non-duplicated Reads (Mapped Trimmed),Mean Effect Coverage Depth,Percent of Coverage >= 5X,Percent GC,Median Insert Size,Effect Mean Coverage Inside Target (X),Percent Reads Mapped On Target,Percent Coverage >= 30x
HCC1395_ONT,HCC1395BL,B lymphoblast,SRR16005301,43,WGS,6832,38410855434,ATCC,PRJNA489865,SAMN10102574,Human,32940573569,FREDERICK NATIONAL LABORATORY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12292979,MinION,missing,SINGLE,RANDOM,GENOMIC,Homo sapiens,OXFORD_NANOPORE,2021-09-22T00:00:00Z,female,SRP162370,2021-09-22T11:18:00Z,1,ATCC CRL-2325,ATCC:CRL-2325,NA,HCC1395 Nanopore,MinION,384109,1632283200000,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR160/SRR16005301/SRR16005301.sra,SRR16005301.sra,SRR16005301_HCC1395_Nanopore.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR160/001/SRR16005301/SRR16005301_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR160/001/SRR16005301/SRR16005301_1.fastq.gz,SRR16005301_1.fastq.gz,SRR16005301_HCC1395_Nanopore_1.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WGS_NS_T_4,HCC1395,breast carcinoma,SRR7945587,43,WGS,300,137788324377,ATCC,PRJNA489865,SAMN10102573,Human,45160573924,FDA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4728457,Illumina NovaSeq 6000,CRL-2324,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,female,SRP162370,2018-10-01T17:05:00Z,1,CRL-2324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HCC1395,fresh cell,NovaSeq,S6000,TruSeq PCR free,1842018210,89,1839790050,99.88,1832403023,99.6,93.14,56.3,93.03,41.4,424,NA,NA,NA
WGS_IL_N_1,HCC1395BL,B lymphoblast,SRR7945633,43,WGS,300,77327052383,ATCC,PRJNA489865,SAMN10102574,Human,37509461583,FDA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4728509,Illumina HiSeq 4000,missing,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,female,SRP162370,2018-10-01T15:53:00Z,1,ATCC CRL-2325,ATCC:CRL-2325,NA,WGS cross-site study,Illumina HiSeq 4000,773271,1557892800000,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR794/SRR7945633/SRR7945633.sra,SRR7945633.sra,SRR7945633_WGS_cross-site_study.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR794/003/SRR7945633/SRR7945633_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR794/003/SRR7945633/SRR7945633_1.fastq.gz,SRR7945633_1.fastq.gz,SRR7945633_WGS_cross-site_study_1.fastq.gz,HCC1395BL,fresh cell,HiSeq,HiSeq4000,TruSeq PCR free,1922974720,93,1921659788,99.93,1913037464,99.55,95.2,58.98,93.68,39.7,419,NA,NA,NA
WGS_IL_N_1,HCC1395BL,B lymphoblast,SRR7945633,43,WGS,300,77327052383,ATCC,PRJNA489865,SAMN10102574,Human,37509461583,FDA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4728509,Illumina HiSeq 4000,missing,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,female,SRP162370,2018-10-01T15:53:00Z,1,ATCC CRL-2325,ATCC:CRL-2325,NA,WGS cross-site study,Illumina HiSeq 4000,773271,1557892800000,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR794/SRR7945633/SRR7945633.sra,SRR7945633.sra,SRR7945633_WGS_cross-site_study.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR794/003/SRR7945633/SRR7945633_2.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR794/003/SRR7945633/SRR7945633_2.fastq.gz,SRR7945633_2.fastq.gz,SRR7945633_WGS_cross-site_study_2.fastq.gz,HCC1395BL,fresh cell,HiSeq,HiSeq4000,TruSeq PCR free,1922974720,93,1921659788,99.93,1913037464,99.55,95.2,58.98,93.68,39.7,419,NA,NA,NA
WGS_IL_N_1,HCC1395BL,B lymphoblast,SRR7945634,43,WGS,300,70210669410,ATCC,PRJNA489865,SAMN10102574,Human,33730331505,FDA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4728509,Illumina HiSeq 4000,missing,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,female,SRP162370,2018-10-01T13:00:00Z,1,ATCC CRL-2325,ATCC:CRL-2325,NA,WGS cross-site study,Illumina HiSeq 4000,702107,1557892800000,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR794/SRR7945634/SRR7945634.sra,SRR7945634.sra,SRR7945634_WGS_cross-site_study.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR794/004/SRR7945634/SRR7945634_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR794/004/SRR7945634/SRR7945634_1.fastq.gz,SRR7945634_1.fastq.gz,SRR7945634_WGS_cross-site_study_1.fastq.gz,HCC1395BL,fresh cell,HiSeq,HiSeq4000,TruSeq PCR free,1922974720,93,1921659788,99.93,1913037464,99.55,95.2,58.98,93.68,39.7,419,NA,NA,NA
WGS_IL_N_1,HCC1395BL,B lymphoblast,SRR7945634,43,WGS,300,70210669410,ATCC,PRJNA489865,SAMN10102574,Human,33730331505,FDA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4728509,Illumina HiSeq 4000,missing,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,female,SRP162370,2018-10-01T13:00:00Z,1,ATCC CRL-2325,ATCC:CRL-2325,NA,WGS cross-site study,Illumina HiSeq 4000,702107,1557892800000,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR794/SRR7945634/SRR7945634.sra,SRR7945634.sra,SRR7945634_WGS_cross-site_study.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR794/004/SRR7945634/SRR7945634_2.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR794/004/SRR7945634/SRR7945634_2.fastq.gz,SRR7945634_2.fastq.gz,SRR7945634_WGS_cross-site_study_2.fastq.gz,HCC1395BL,fresh cell,HiSeq,HiSeq4000,TruSeq PCR free,1922974720,93,1921659788,99.93,1913037464,99.55,95.2,58.98,93.68,39.7,419,NA,NA,NA
WGS_IL_N_1,HCC1395BL,B lymphoblast,SRR7945663,43,WGS,300,65341735754,ATCC,PRJNA489865,SAMN10102574,Human,31460446944,FDA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4728509,Illumina HiSeq 4000,missing,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,female,SRP162370,2018-10-01T13:32:00Z,1,ATCC CRL-2325,ATCC:CRL-2325,NA,WGS cross-site study,Illumina HiSeq 4000,653417,1557892800000,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR794/SRR7945663/SRR7945663.sra,SRR7945663.sra,SRR7945663_WGS_cross-site_study.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR794/003/SRR7945663/SRR7945663_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR794/003/SRR7945663/SRR7945663_1.fastq.gz,SRR7945663_1.fastq.gz,SRR7945663_WGS_cross-site_study_1.fastq.gz,HCC1395BL,fresh cell,HiSeq,HiSeq4000,TruSeq PCR free,1922974720,93,1921659788,99.93,1913037464,99.55,95.2,58.98,93.68,39.7,419,NA,NA,NA
WGS_IL_N_1,HCC1395BL,B lymphoblast,SRR7945663,43,WGS,300,65341735754,ATCC,PRJNA489865,SAMN10102574,Human,31460446944,FDA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4728509,Illumina HiSeq 4000,missing,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,female,SRP162370,2018-10-01T13:32:00Z,1,ATCC CRL-2325,ATCC:CRL-2325,NA,WGS cross-site study,Illumina HiSeq 4000,653417,1557892800000,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR794/SRR7945663/SRR7945663.sra,SRR7945663.sra,SRR7945663_WGS_cross-site_study.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR794/003/SRR7945663/SRR7945663_2.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR794/003/SRR7945663/SRR7945663_2.fastq.gz,SRR7945663_2.fastq.gz,SRR7945663_WGS_cross-site_study_2.fastq.gz,HCC1395BL,fresh cell,HiSeq,HiSeq4000,TruSeq PCR free,1922974720,93,1921659788,99.93,1913037464,99.55,95.2,58.98,93.68,39.7,419,NA,NA,NA
SPP_GT_1-4_1,SPP_GT_1-4_mix,DNA mix,SRR7947146,43,WGS,300,116410883700,SEQC-II,PRJNA489865,SAMN10102577,Human,47040508295,FDA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4728465,Illumina HiSeq 4000,SPP_GT_1-4_mix,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,female,SRP162370,2018-10-01T18:14:00Z,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mix,fresh cell,HiSeq,HiSeq4000,TruSeq PCR free,3109693812,151,3031054048,97.47,3018769715,99.6,74.41,114.9,93.75,39.96,369,NA,NA,NA
SPP_GT_1-4_1,SPP_GT_1-4_mix,DNA mix,SRR7947147,43,WGS,300,116828185800,SEQC-II,PRJNA489865,SAMN10102577,Human,47510646402,FDA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4728465,Illumina HiSeq 4000,SPP_GT_1-4_mix,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,female,SRP162370,2018-10-01T19:08:00Z,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mix,fresh cell,HiSeq,HiSeq4000,TruSeq PCR free,3109693812,151,3031054048,97.47,3018769715,99.6,74.41,114.9,93.75,39.96,369,NA,NA,NA
