Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR7890887	Tumor purity study	Illumina HiSeq 4000	4638458	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890887/SRR7890887.sra	SRR7890887.sra	SRR7890887_Tumor_purity_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/007/SRR7890887/SRR7890887_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/007/SRR7890887/SRR7890887_1.fastq.gz	SRR7890887_1.fastq.gz	SRR7890887_Tumor_purity_study_1.fastq.gz
SRR7890887	Tumor purity study	Illumina HiSeq 4000	4638458	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890887/SRR7890887.sra	SRR7890887.sra	SRR7890887_Tumor_purity_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/007/SRR7890887/SRR7890887_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/007/SRR7890887/SRR7890887_2.fastq.gz	SRR7890887_2.fastq.gz	SRR7890887_Tumor_purity_study_2.fastq.gz
SRR7890886	WGS cross-site study	Illumina NovaSeq 6000	2258352	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890886/SRR7890886.sra	SRR7890886.sra	SRR7890886_WGS_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/006/SRR7890886/SRR7890886_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/006/SRR7890886/SRR7890886_1.fastq.gz	SRR7890886_1.fastq.gz	SRR7890886_WGS_cross-site_study_1.fastq.gz
SRR7890886	WGS cross-site study	Illumina NovaSeq 6000	2258352	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890886/SRR7890886.sra	SRR7890886.sra	SRR7890886_WGS_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/006/SRR7890886/SRR7890886_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/006/SRR7890886/SRR7890886_2.fastq.gz	SRR7890886_2.fastq.gz	SRR7890886_WGS_cross-site_study_2.fastq.gz
SRR7890885	WGS cross-site study	Illumina NovaSeq 6000	2199583	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890885/SRR7890885.sra	SRR7890885.sra	SRR7890885_WGS_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/005/SRR7890885/SRR7890885_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/005/SRR7890885/SRR7890885_1.fastq.gz	SRR7890885_1.fastq.gz	SRR7890885_WGS_cross-site_study_1.fastq.gz
SRR7890885	WGS cross-site study	Illumina NovaSeq 6000	2199583	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890885/SRR7890885.sra	SRR7890885.sra	SRR7890885_WGS_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/005/SRR7890885/SRR7890885_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/005/SRR7890885/SRR7890885_2.fastq.gz	SRR7890885_2.fastq.gz	SRR7890885_WGS_cross-site_study_2.fastq.gz
SRR7909926	WGS cross-site study	Illumina NovaSeq 6000	1113980	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR790/SRR7909926/SRR7909926.sra	SRR7909926.sra	SRR7909926_WGS_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/006/SRR7909926/SRR7909926_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR790/006/SRR7909926/SRR7909926_1.fastq.gz	SRR7909926_1.fastq.gz	SRR7909926_WGS_cross-site_study_1.fastq.gz
SRR7909926	WGS cross-site study	Illumina NovaSeq 6000	1113980	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR790/SRR7909926/SRR7909926.sra	SRR7909926.sra	SRR7909926_WGS_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR790/006/SRR7909926/SRR7909926_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR790/006/SRR7909926/SRR7909926_2.fastq.gz	SRR7909926_2.fastq.gz	SRR7909926_WGS_cross-site_study_2.fastq.gz
SRR7890884	WGS cross-site study	Illumina NovaSeq 6000	1930090	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890884/SRR7890884.sra	SRR7890884.sra	SRR7890884_WGS_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/004/SRR7890884/SRR7890884_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/004/SRR7890884/SRR7890884_1.fastq.gz	SRR7890884_1.fastq.gz	SRR7890884_WGS_cross-site_study_1.fastq.gz
SRR7890884	WGS cross-site study	Illumina NovaSeq 6000	1930090	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890884/SRR7890884.sra	SRR7890884.sra	SRR7890884_WGS_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/004/SRR7890884/SRR7890884_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/004/SRR7890884/SRR7890884_2.fastq.gz	SRR7890884_2.fastq.gz	SRR7890884_WGS_cross-site_study_2.fastq.gz
SRR7890883	WES cross-site study	Illumina HiSeq 4000	309330	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890883/SRR7890883.sra	SRR7890883.sra	SRR7890883_WES_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/003/SRR7890883/SRR7890883_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/003/SRR7890883/SRR7890883_1.fastq.gz	SRR7890883_1.fastq.gz	SRR7890883_WES_cross-site_study_1.fastq.gz
SRR7890883	WES cross-site study	Illumina HiSeq 4000	309330	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890883/SRR7890883.sra	SRR7890883.sra	SRR7890883_WES_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/003/SRR7890883/SRR7890883_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/003/SRR7890883/SRR7890883_2.fastq.gz	SRR7890883_2.fastq.gz	SRR7890883_WES_cross-site_study_2.fastq.gz
SRR7890882	WES cross-site study	Illumina HiSeq 4000	478561	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890882/SRR7890882.sra	SRR7890882.sra	SRR7890882_WES_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/002/SRR7890882/SRR7890882_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/002/SRR7890882/SRR7890882_1.fastq.gz	SRR7890882_1.fastq.gz	SRR7890882_WES_cross-site_study_1.fastq.gz
SRR7890882	WES cross-site study	Illumina HiSeq 4000	478561	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890882/SRR7890882.sra	SRR7890882.sra	SRR7890882_WES_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/002/SRR7890882/SRR7890882_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/002/SRR7890882/SRR7890882_2.fastq.gz	SRR7890882_2.fastq.gz	SRR7890882_WES_cross-site_study_2.fastq.gz
SRR7890881	WES cross-site study	Illumina HiSeq 4000	117081	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890881/SRR7890881.sra	SRR7890881.sra	SRR7890881_WES_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/001/SRR7890881/SRR7890881_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/001/SRR7890881/SRR7890881_1.fastq.gz	SRR7890881_1.fastq.gz	SRR7890881_WES_cross-site_study_1.fastq.gz
SRR7890881	WES cross-site study	Illumina HiSeq 4000	117081	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890881/SRR7890881.sra	SRR7890881.sra	SRR7890881_WES_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/001/SRR7890881/SRR7890881_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/001/SRR7890881/SRR7890881_2.fastq.gz	SRR7890881_2.fastq.gz	SRR7890881_WES_cross-site_study_2.fastq.gz
SRR7890880	WES cross-site study	Illumina HiSeq 4000	102687	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890880/SRR7890880.sra	SRR7890880.sra	SRR7890880_WES_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/000/SRR7890880/SRR7890880_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/000/SRR7890880/SRR7890880_1.fastq.gz	SRR7890880_1.fastq.gz	SRR7890880_WES_cross-site_study_1.fastq.gz
SRR7890880	WES cross-site study	Illumina HiSeq 4000	102687	1.55789E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR7890880/SRR7890880.sra	SRR7890880.sra	SRR7890880_WES_cross-site_study.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/000/SRR7890880/SRR7890880_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/000/SRR7890880/SRR7890880_2.fastq.gz	SRR7890880_2.fastq.gz	SRR7890880_WES_cross-site_study_2.fastq.gz
